SORTERINGSDRAGNING, PRE-RAPPORT

=================================
Name: Numbers
Datum: 2016-12-21 10:26:33
Seed: 36977544
---------------------------------

Num	(Random)		Item
01	(55 904 441)		3
02	(19 168 943)		29
03	(40 334 955)		41
04	(43 021 015)		21
05	(27 961 288)		2
06	(84 151 613)		4
07	(69 090 610)		5
08	(98 211 087)		15
09	(74 460 516)		19
10	(76 694 761)		36
11	 (6 305 628)		9
12	(78 094 874)		14
13	 (7 993 293)		37
14	(15 014 201)		28
15	(99 335 375)		13
16	(98 927 331)		20
17	(62 062 419)		1
18	(56 744 126)		10
19	(91 173 238)		17
20	(60 121 454)		7
21	(62 436 734)		43
22	(86 058 130)		8
23	(57 433 536)		39
24	(56 613 774)		6
25	(32 520 564)		26
26	(27 638 683)		22
27	(62 115 380)		16
28	(12 150 462)		25
29	(57 074 492)		27
30	(61 887 582)		12
31	(62 561 607)		24
32	(86 311 142)		50
33	(74 288 954)		40
34	(76 551 308)		11
35	(28 968 817)		45
36	(37 569 746)		49
37	(73 872 651)		23
38	(86 319 742)		44
39	(56 717 449)		33
40	(30 403 383)		46
41	(39 429 955)		42
42	(55 403 647)		47
43	(40 457 562)		48
44	(69 529 849)		34
45	(22 679 038)		35
46	(49 838 662)		31
47	(55 667 946)		30
48	(60 113 450)		32
49	(97 342 667)		38
50	(41 070 213)		18
